author,comments,name,press,price,rank
皮姆,448924条评论,我不敢说，我怕被骂——邓超微博推荐的绘本 带给孩子更多勇气和自,北京联合出版公司,¥19.90,175.
约瑟夫·米森,88586条评论,这就是物理（函套10册）,北京理工大学出版社,¥99.00,176.
莳田晋至,320994条评论,在教室说错了没关系,青岛出版社,¥18.00,177.
亚历山德拉·米热林斯卡,758480条评论,地图 人文版（升级版）手绘世界地图 儿童百科绘本,贵州人民出版社,¥65.50,178.
吉田纯子,422362条评论,0-4岁幼儿认知小百科（全3册),长江少年儿童出版社,¥44.00,179.
陈磊·半小时漫画团队,1350577条评论,半小时漫画科学史（漫画式科普开创者二混子新作！从地心说到相对,文汇出版社,¥21.00,180.
塔拉,750596条评论,你当像鸟飞往你的山（比尔·盖茨年度特别推荐，登顶《纽约时报》,南海出版公司,¥29.50,1.
金伯莉·布雷恩,617979条评论,你就是孩子最好的玩具 樊登推荐,南方出版社,¥11.70,2.
阿兰德·丹姆,1271900条评论,小熊和最好的爸爸（全7册）,贵州人民出版社,¥17.50,3.
乔安娜柯尔,1462816条评论,神奇校车·图画书版（全12册，新增科学博览会1册）,贵州人民出版社,¥77.20,4.
太宰治,1999968条评论,人间失格（日本小说家太宰治代表作，190多万条好评的现象级畅销书,作家出版社,¥11.30,5.
丁香医生,32338条评论,健康日历2021,现代出版社,¥38.90,6.
渡边淳一,184515条评论,钝感力（渡边淳一经典：具备不为小事动摇的钝感力，才能成为真正,青岛出版社,¥16.00,7.
乔安娜柯尔,1100298条评论,神奇校车·桥梁书版（全20册）,贵州人民出版社,¥58.50,8.
简·尼尔森,1562057条评论,正面管教(修订版),北京联合出版公司,¥17.10,9.
张嘉骅,863766条评论,少年读史记（套装全5册）,青岛出版社,¥39.00,10.
怀特,950225条评论,夏洛的网(2020版） 教育部推荐三四年级阅读书目,上海译文出版社,¥18.50,11.
古斯塔夫·勒庞,518317条评论,乌合之众 : 大众心理研究,民主与建设出版社,¥11.70,12.
麦家,572558条评论,人生海海（麦家重磅力作，莫言、董卿盛赞，发行量超150万册，豆瓣,北京十月文艺出版社,¥27.50,13.
罗伯特·戴博德,43774条评论,蛤蟆先生去看心理医生（热销23年，英国经典心理咨询入门书，知名,天津人民出版社,¥19.00,14.
毛姆,1153141条评论,作家榜经典：月亮与六便士（连续3年蝉联当当名著销冠！荣获2017豆,浙江文艺出版社,¥19.90,15.
东野圭吾,1642665条评论,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,南海出版公司,¥29.80,16.
莫言,153959条评论,晚熟的人（莫言新书）,人民文学出版社,¥28.60,17.
刘慈欣,1356441条评论,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,重庆出版社,¥46.50,18.
山下英子,952147条评论,断舍离,广西科学技术出版社,¥12.80,19.
叶永烈,84686条评论,侦探与小偷 （教育部统编《语文》推荐阅读，与语文教材无缝对接，,中译出版社（原中国对外翻译出版公司）,¥22.10,20.
东菜奈,54857条评论,好想去这样那样的国家（全6册）,贵州人民出版社,¥49.10,101.
五味太郎,27809条评论,语言表达第一课（全4册）,贵州人民出版社,¥54.00,102.
乔治·奥威尔,161770条评论,一九八四（又译“1984”。奥威尔代表作，被誉为20世纪影响极为深,时代文艺出版社,¥15.00,103.
弗雷德里克·巴克曼,445998条评论,外婆的道歉信（畅销100万册，马思纯领读书目。人民日报、央视好评,天津人民出版社,¥20.80,104.
中岛敦,59503条评论,山月记（如果你很迷茫！自我拉扯！一定要读《山月记》。日本文豪,三秦出版社,¥22.30,105.
林奕含,358445条评论,房思琪的初恋乐园 （豆瓣9.2高分！数百万读者强烈共鸣的文学绝唱,北京联合出版有限公司,¥45.00,106.
艾瑞克·利温,186691条评论,皮特猫·3~6岁好性格养成书：第一辑（共6册）（乐观、积极、开朗,文汇出版社,¥69.90,107.
当年明月,346627条评论,明朝那些事儿全集 增补版（新版全套9册）,北京联合出版有限公司,¥278.80,108.
吴楚材,219370条评论,古文观止（上下册。畅销23万多册，同类书销量遥遥领先）,浙江教育出版社,¥23.40,109.
杰奎琳·凯利,89386条评论,蒲公英国际大奖小说（全6册）,贵州人民出版社,¥71.70,110.
罗娜·雷纳,334691条评论,不吼不叫：如何平静地让孩子与父母合作,上海社会科学院出版社,¥14.70,111.
九边,12237条评论,西方博弈往事：看透西方的演化逻辑，看懂西方到底会走向何方（九,台海出版社,¥29.60,112.
五味太郎,149004条评论,小金鱼逃走了,新星出版社,¥17.50,113.
左拉,19322条评论,娜娜（全球十大禁书之一，出版第一天销售55000册创法国出版史记录,西安交通大学出版社,¥16.90,61.
