[0304/075340:INFO:CONSOLE(0)] "Uncaught (in promise) #<Object>", source: http://ke.qq.com/client/teacher.html#uin=3016013112&gid=101264955&courseid=101264955&state=1&startTime=1583279614476 (0)
[0420/055024:INFO:CONSOLE(30)] "%c2020-04-19T21:50:24.119Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.2078 200 104ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055034:INFO:CONSOLE(30)] "%c2020-04-19T21:50:34.226Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.3222 200 104ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055044:INFO:CONSOLE(30)] "%c2020-04-19T21:50:44.330Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.1128 200 102ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055054:INFO:CONSOLE(30)] "%c2020-04-19T21:50:54.434Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.8397 200 100ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055104:INFO:CONSOLE(30)] "%c2020-04-19T21:51:04.534Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.9798 200 98ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055114:INFO:CONSOLE(30)] "%c2020-04-19T21:51:14.637Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.0763 200 99ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055124:INFO:CONSOLE(30)] "%c2020-04-19T21:51:24.739Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.4959 200 100ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055128:INFO:CONSOLE(30)] "%c2020-04-19T21:51:28.377Z [imlog] INFO: GET /cgi-bin/coupon/get_coupon_status_marketing?tid=101756608&bkn=1119823869&t=0.6967 200 236ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055128:INFO:CONSOLE(30)] "%c2020-04-19T21:51:28.405Z [imlog] INFO: GET /cgi-bin/web_ke/get_notice?tkn=101756608&uint32_course_abs_id=101756608&bkn=1119823869&t=0.2922 200 262ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055134:INFO:CONSOLE(30)] "%c2020-04-19T21:51:34.845Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.4932 200 103ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055139:INFO:CONSOLE(30)] "%c2020-04-19T21:51:39.565Z [imlog] INFO: post //report.edu.qq.com/data_report/web_report 200 273ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055144:INFO:CONSOLE(30)] "%c2020-04-19T21:51:44.953Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.2875 200 104ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055155:INFO:CONSOLE(30)] "%c2020-04-19T21:51:55.054Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.9577 200 98ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055157:INFO:CONSOLE(30)] "%c2020-04-19T21:51:57.945Z [imlog] INFO: post //report.edu.qq.com/data_report/web_report 200 209ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055204:INFO:CONSOLE(30)] "%c2020-04-19T21:52:04.699Z [imlog] INFO: post //report.edu.qq.com/data_report/web_report 200 208ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/055205:INFO:CONSOLE(30)] "%c2020-04-19T21:52:05.156Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.9238 200 98ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0423/083744:INFO:CONSOLE(30)] "%c2020-04-23T00:37:44.333Z [imlog] INFO: post //report.edu.qq.com/data_report/web_report 200 183ms", source: https://7.url.cn/edu/teacher-client/index_55ad6c21bcd7a078d4f8.js (30)
[0423/083746:INFO:CONSOLE(30)] "%c2020-04-23T00:37:46.778Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.3509 200 95ms", source: https://7.url.cn/edu/teacher-client/index_55ad6c21bcd7a078d4f8.js (30)
[0423/083749:INFO:CONSOLE(30)] "%c2020-04-23T00:37:49.960Z [imlog] INFO: post //report.edu.qq.com/data_report/web_report 200 1111ms", source: https://7.url.cn/edu/teacher-client/index_55ad6c21bcd7a078d4f8.js (30)
